Datestart:	Time	Dateend:	Time	Tzone	Begin	Length	End	Sulfate	S_std	Nitrate	NO3_std	Al	Al-std	As	As-std	Cd	Cd-std	Cr	Cr-std	Cu	Cu-std	Fe	Fe-std	Mn	Mn-std	Ni	Ni-std	Pb	Pb-std	Se	Se-std	Zn	Zn-std	NO2 	NO2-std	Chlorid	-std	NH4ion	NH4-std	Sodium	Na-std	K	K-std	OC	OC-std	EC	EC-std	Ti	Ti-std	V	V-std	Mo	Mo-std	Sb	Sb-std	0
2001/07/16	0:00	2001/07/16	0:10	EST	1	1	1	5.16		0.66																																														1
2001/07/16	0:10	2001/07/16	0:20	EST	2	1	2	5.31		0.61																																														2
2001/07/16	0:20	2001/07/16	0:30	EST	3	1	3	5.80		0.63																																														3
2001/07/16	0:30	2001/07/16	0:40	EST	4	1	4	5.73		0.67																																														4
2001/07/16	0:40	2001/07/16	0:50	EST	5	1	5	5.45		0.59																																														5
2001/07/16	0:50	2001/07/16	1:00	EST	6	1	6	5.00	10.00	0.80	1.60																																													6
2001/07/16	1:00	2001/07/16	1:10	EST	7	1	7	5.00	10.00	1.09																																														7
2001/07/16	1:10	2001/07/16	1:20	EST	8	1	8	4.73		1.12																																														8
2001/07/16	1:20	2001/07/16	1:30	EST	9	1	9	5.09		1.06																																														9
2001/07/16	1:30	2001/07/16	1:40	EST	10	1	10	5.94		1.12																																														10
2001/07/16	1:40	2001/07/16	1:50	EST	11	1	11	5.15		1.22																																														11
2001/07/16	1:50	2001/07/16	2:00	EST	12	1	12	5.60		1.21																																														12
2001/07/16	2:00	2001/07/16	2:10	EST	13	1	13	5.28		1.25																																														13
2001/07/16	2:10	2001/07/16	2:20	EST	14	1	14	5.53		1.25																																														14
2001/07/16	2:20	2001/07/16	2:30	EST	15	1	15	4.52		1.31																																														15
2001/07/16	2:30	2001/07/16	2:40	EST	16	1	16	5.62		1.22																																														16
2001/07/16	2:40	2001/07/16	2:50	EST	17	1	17	5.78		1.43																																														17
2001/07/16	2:50	2001/07/16	3:00	EST	18	1	18	4.84		1.59																																														18
2001/07/16	3:00	2001/07/16	3:10	EST	19	1	19	5.25		1.58																																														19
2001/07/16	3:10	2001/07/16	3:20	EST	20	1	20	5.59		1.51																																														20
2001/07/16	3:20	2001/07/16	3:30	EST	21	1	21	5.12		1.18																																														21
2001/07/16	3:30	2001/07/16	3:40	EST	22	1	22	4.61		1.05																																														22
2001/07/16	3:40	2001/07/16	3:50	EST	23	1	23	5.31		1.18																																														23
2001/07/16	3:50	2001/07/16	4:00	EST	24	1	24	4.89		1.24																																														24
2001/07/16	4:00	2001/07/16	4:10	EST	25	1	25	4.93		1.32																																														25
2001/07/16	4:10	2001/07/16	4:20	EST	26	1	26	4.70		1.35																																														26
2001/07/16	4:20	2001/07/16	4:30	EST	27	1	27	4.13		1.33																																														27
2001/07/16	4:30	2001/07/16	4:40	EST	28	1	28	5.08		1.40																																														28
2001/07/16	4:40	2001/07/16	4:50	EST	29	1	29	4.17		1.58																																														29
2001/07/16	4:50	2001/07/16	5:00	EST	30	1	30	4.76		1.40																																														30
2001/07/16	5:00	2001/07/16	5:10	EST	31	1	31	5.56		1.69																																														31
2001/07/16	5:10	2001/07/16	5:20	EST	32	1	32	5.08		1.44																																														32
2001/07/16	5:20	2001/07/16	5:30	EST	33	1	33	4.80		1.39																																														33
2001/07/16	5:30	2001/07/16	5:40	EST	34	1	34	4.99		1.52																																														34
2001/07/16	5:40	2001/07/16	5:50	EST	35	1	35	4.41		1.59																																														35
2001/07/16	5:50	2001/07/16	6:00	EST	36	1	36	4.74		1.48																																														36
2001/07/16	6:00	2001/07/16	6:10	EST	37	1	37	5.20		1.60																																														37
2001/07/16	6:10	2001/07/16	6:20	EST	38	1	38	4.71		1.73																																														38
2001/07/16	6:20	2001/07/16	6:30	EST	39	1	39	5.44		1.81																																														39
2001/07/16	6:30	2001/07/16	6:40	EST	40	1	40	5.44		1.93																																														40
2001/07/16	6:40	2001/07/16	6:50	EST	41	1	41	4.99		1.92																																														41
2001/07/16	6:50	2001/07/16	7:00	EST	42	1	42	5.33		2.34																																														42
2001/07/16	7:00	2001/07/16	7:10	EST	43	1	43	5.30		2.18																																														43
2001/07/16	7:10	2001/07/16	7:20	EST	44	1	44	5.58		2.20																																														44
2001/07/16	7:20	2001/07/16	7:30	EST	45	1	45	4.85		2.25																																														45
2001/07/16	7:30	2001/07/16	7:40	EST	46	1	46	5.40		1.92																																														46
2001/07/16	7:40	2001/07/16	7:50	EST	47	1	47	5.08		2.00																																														47
2001/07/16	7:50	2001/07/16	8:00	EST	48	1	48	4.15		2.18																																														48
2001/07/16	8:00	2001/07/16	8:10	EST	49	1	49	5.17		2.68																																														49
2001/07/16	8:10	2001/07/16	8:20	EST	50	1	50	5.18		2.34																																														50
2001/07/16	8:20	2001/07/16	8:30	EST	51	1	51	4.86		2.57																																														51
2001/07/16	8:30	2001/07/16	8:40	EST	52	1	52	5.90		2.21																																														52
2001/07/16	8:40	2001/07/16	8:50	EST	53	1	53	6.57		2.66																																														53
2001/07/16	8:50	2001/07/16	9:00	EST	54	1	54	6.88		2.75																																														54
2001/07/16	9:00	2001/07/16	9:10	EST	55	1	55	5.78		2.70	5.40																																													55
2001/07/16	9:10	2001/07/16	9:20	EST	56	1	56	7.13		2.79																																														56
2001/07/16	9:20	2001/07/16	9:30	EST	57	1	57	7.32		2.67																																														57
2001/07/16	9:30	2001/07/16	9:40	EST	58	1	58	7.79		2.66																																														58
2001/07/16	9:40	2001/07/16	9:50	EST	59	1	59	7.71		2.92																																														59
2001/07/16	9:50	2001/07/16	10:00	EST	60	1	60	8.09		2.41																																														60
2001/07/16	10:00	2001/07/16	10:10	EST	61	1	61	7.77		2.17																																														61
2001/07/16	10:10	2001/07/16	10:20	EST	62	1	62	7.85		1.79																																														62
2001/07/16	10:20	2001/07/16	10:30	EST	63	1	63	7.00		1.85																																														63
2001/07/16	10:30	2001/07/16	10:40	EST	64	1	64	6.82		1.40																																														64
2001/07/16	10:40	2001/07/16	10:50	EST	65	1	65	7.44		1.20																																														65
2001/07/16	10:50	2001/07/16	11:00	EST	66	1	66	7.35		1.25																																														66
2001/07/16	11:00	2001/07/16	11:10	EST	67	1	67	7.93		0.91																																														67
2001/07/16	11:10	2001/07/16	11:20	EST	68	1	68	7.25		0.74																																														68
2001/07/16	11:20	2001/07/16	11:30	EST	69	1	69	5.93		0.44																																														69
2001/07/16	11:30	2001/07/16	11:40	EST	70	1	70	5.83		0.36																																														70
2001/07/16	11:40	2001/07/16	11:50	EST	71	1	71	6.72		0.45																																														71
2001/07/16	11:50	2001/07/16	12:00	EST	72	1	72	7.67		0.45																																														72
2001/07/16	12:00	2001/07/16	12:10	EST	73	1	73	7.00	15.00	0.44																																														73
2001/07/16	12:10	2001/07/16	12:20	EST	74	1	74	7.00	15.00	0.53																																														74
2001/07/16	12:20	2001/07/16	12:30	EST	75	1	75	7.00	15.00	0.43																																														75
2001/07/16	12:30	2001/07/16	12:40	EST	76	1	76	7.00	15.00	0.42																																														76
2001/07/16	12:40	2001/07/16	12:50	EST	77	1	77	7.00	15.00	0.46																																														77
2001/07/16	12:50	2001/07/16	13:00	EST	78	1	78	7.00	15.00	0.39																																														78
2001/07/16	13:00	2001/07/16	13:10	EST	79	1	79	6.00	15.00	0.37																																														79
2001/07/16	13:10	2001/07/16	13:20	EST	80	1	80	6.00	15.00	0.27																																														80
